,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
0,Grand Theft Auto V,2014,Action,Rockstar Games,4700000.0,3250000.0,10000.0,760000.0,8720000.0
1,Call of Duty: Black Ops 3,2015,Shooter,Activision,4630000.0,2040000.0,20000.0,680000.0,7370000.0
2,Call of Duty: WWII,2017,Shooter,Activision,3750000.0,1910000.0,0.0,570000.0,6230000.0
3,Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,3760000.0,1470000.0,0.0,540000.0,5770000.0
4,MineCraft,2014,Misc,Microsoft Studios,3230000.0,1710000.0,0.0,490000.0,5430000.0
5,Call of Duty: Advanced Warfare,2014,Shooter,Activision,3250000.0,1490000.0,10000.0,480000.0,5230000.0
6,Battlefield 1,2016,Shooter,Electronic Arts,3370000.0,1260000.0,20000.0,480000.0,5130000.0
7,Fallout 4,2015,Role-Playing,Bethesda Softworks,2940000.0,1620000.0,20000.0,450000.0,5030000.0
8,Halo 5: Guardians,2015,Shooter,Microsoft Studios,2940000.0,1490000.0,30000.0,450000.0,4910000.0
9,Call of Duty: Infinite Warfare,2016,Shooter,Activision,2910000.0,1440000.0,0.0,440000.0,4790000.0
10,Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,2490000.0,1260000.0,20000.0,380000.0,4150000.0
11,Forza Horizon 3,2016,Racing,Microsoft Studios,1640000.0,1960000.0,20000.0,320000.0,3940000.0
12,FIFA 17,2016,Sports,Electronic Arts,1040000.0,2400000.0,0.0,270000.0,3710000.0
13,Gears of War: Ultimate Edition,2015,Shooter,Microsoft Studios,2880000.0,370000.0,0.0,370000.0,3620000.0
14,Assassin's Creed: Unity,2014,Action,Ubisoft,2340000.0,900000.0,0.0,340000.0,3580000.0
15,Halo: The Master Chief Collection,2014,Shooter,Microsoft Studios,2060000.0,1040000.0,30000.0,310000.0,3440000.0
16,Destiny,2014,Shooter,Activision,2170000.0,920000.0,0.0,320000.0,3410000.0
17,Gears of War 4,2016,Shooter,Microsoft Studios,2170000.0,900000.0,0.0,320000.0,3390000.0
18,FIFA 16,2015,Sports,EA Sports,920000.0,2100000.0,0.0,240000.0,3260000.0
19,FIFA 18,2017,Sports,EA Sports,980000.0,1920000.0,0.0,230000.0,3130000.0
20,Titanfall,2014,Shooter,Electronic Arts,1880000.0,910000.0,40000.0,280000.0,3110000.0
21,Call of Duty: Ghosts,2013,Shooter,Activision,1920000.0,860000.0,0.0,280000.0,3060000.0
22,Overwatch,2016,Shooter,Blizzard Entertainment,1630000.0,840000.0,0.0,250000.0,2720000.0
23,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,1620000.0,840000.0,0.0,250000.0,2710000.0
24,Tom Clancy's The Division,2016,Shooter,Ubisoft,1540000.0,820000.0,0.0,240000.0,2600000.0
25,Assassin's Creed Origins,2017,Action,Ubisoft,1340000.0,920000.0,0.0,220000.0,2480000.0
26,Madden NFL 16,2015,Sports,EA Sports,2130000.0,80000.0,0.0,260000.0,2470000.0
27,Madden NFL 17,2016,Sports,EA Sports,2140000.0,40000.0,0.0,260000.0,2440000.0
28,NBA 2K16,2015,Sports,2K Sports,2009999.9999999998,150000.0,0.0,250000.0,2410000.0
29,Forza Motorsport 5,2013,Racing,Microsoft Studios,1280000.0,900000.0,10000.0,210000.0,2400000.0
30,Destiny 2,2017,Shooter,Activision,1660000.0,470000.0,0.0,230000.0,2360000.0
31,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1510000.0,590000.0,0.0,220000.0,2320000.0
32,FIFA 15,2014,Sports,EA Sports,640000.0,1390000.0,0.0,160000.0,2190000.0
33,PlayerUnknown's Battlegrounds,2017,Shooter,Microsoft Studios,1290000.0,690000.0,0.0,200000.0,2180000.0
34,Battlefield 4,2013,Shooter,Electronic Arts,1260000.0,650000.0,0.0,190000.0,2100000.0
35,NBA 2K17,2016,Sports,2K Sports,1700000.0,120000.0,0.0,210000.0,2030000.0
36,Forza Motorsport 6,2015,Racing,Microsoft Studios,900000.0,920000.0,40000.0,160000.0,2020000.0
37,NBA 2K18,2017,Sports,2K Sports,1670000.0,140000.0,0.0,210000.0,2020000.0
38,Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,1150000.0,590000.0,0.0,170000.0,1910000.0
39,Madden NFL 18,2017,Sports,EA Sports,1630000.0,70000.0,0.0,200000.0,1900000.0
40,The Elder Scrolls V: Skyrim,2016,Role-Playing,Bethesda Softworks,1130000.0,530000.0,0.0,170000.0,1830000.0
41,Far Cry 5,2018,Action,Ubisoft,1140000.0,470000.0,0.0,170000.0,1780000.0
42,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1340000.0,230000.0,0.0,180000.0,1750000.0
43,NBA 2K15,2014,Sports,2K Sports,1390000.0,180000.0,0.0,180000.0,1750000.0
44,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,970000.0,610000.0,10000.0,150000.0,1740000.0
45,Far Cry 4,2014,Shooter,Ubisoft,850000.0,680000.0,20000.0,140000.0,1690000.0
46,Watch Dogs,2014,Action-Adventure,Ubisoft,910000.0,590000.0,0.0,150000.0,1650000.0
